year,profession,sex,count
46,fisher,X,2
46,homemaker,F,20
46,homemaker,M,26
46,homemaker,X,5
46,retired,F,18
46,retired,M,27
46,retired,X,1
46,service provider,F,17
46,service provider,M,21
46,unemployed,F,6
46,unemployed,M,12
46,unemployed,X,1
47,child,F,86
47,child,M,67
47,child,X,3
47,civil servant,F,15
47,civil servant,M,16
47,craftsman,F,23
47,craftsman,M,24
47,craftsman,X,3
47,farmer,F,27
47,farmer,M,29
47,farmer,X,2
47,fisher,F,26
47,fisher,M,24
47,fisher,X,2
47,homemaker,F,22
47,homemaker,M,26
47,homemaker,X,5
47,retired,F,17
47,retired,M,27
47,retired,X,1
47,service provider,F,17
47,service provider,M,21
47,unemployed,F,6
47,unemployed,M,12
47,unemployed,X,1
48,child,F,85
48,child,M,65
48,child,X,4
48,civil servant,F,16
48,civil servant,M,16
48,craftsman,F,22
48,craftsman,M,24
48,craftsman,X,3
48,farmer,F,27
48,farmer,M,31
48,farmer,X,2
48,fisher,F,26
48,fisher,M,24
48,fisher,X,2
48,homemaker,F,20
48,homemaker,M,26
48,homemaker,X,5
48,retired,F,23
48,retired,M,22
48,retired,X,1
48,service provider,F,16
48,service provider,M,22
48,unemployed,F,7
48,unemployed,M,12
48,unemployed,X,1
49,child,F,84
49,child,M,63
49,child,X,5
49,civil servant,F,15
49,civil servant,M,17
49,craftsman,F,21
49,craftsman,M,23
49,craftsman,X,3
49,farmer,F,26
49,farmer,M,32
49,farmer,X,2
49,fisher,F,27
49,fisher,M,24
49,fisher,X,2
49,homemaker,F,23
49,homemaker,M,28
49,homemaker,X,5
49,retired,F,22
49,retired,M,24
49,retired,X,1
49,service provider,F,16
49,service provider,M,20
49,unemployed,F,7
49,unemployed,M,12
49,unemployed,X,1
50,child,F,84
50,child,M,62
50,child,X,6
50,civil servant,F,15
50,civil servant,M,16
50,craftsman,F,22
50,craftsman,M,22
50,craftsman,X,3
50,farmer,F,25
50,farmer,M,30
50,farmer,X,2
50,fisher,F,26
50,fisher,M,25
50,fisher,X,2
50,homemaker,F,25
50,homemaker,M,30
50,homemaker,X,5
50,retired,F,21
50,retired,M,25
50,retired,X,1
50,service provider,F,17
50,service provider,M,19
50,unemployed,F,7
50,unemployed,M,12
50,unemployed,X,1
51,child,F,80
51,child,M,64
51,child,X,6
51,civil servant,F,16
51,civil servant,M,16
51,craftsman,F,22
51,craftsman,M,22
51,craftsman,X,3
51,farmer,F,25
51,farmer,M,31
51,farmer,X,2
51,fisher,F,27
51,fisher,M,26
51,fisher,X,2
51,homemaker,F,26
51,homemaker,M,29
51,homemaker,X,4
51,retired,F,19
51,retired,M,23
51,retired,X,2
51,service provider,F,17
51,service provider,M,19
51,unemployed,F,7
51,unemployed,M,13
51,unemployed,X,1
52,child,F,82
52,child,M,64
