year,profession,count
53,fisher,59
53,homemaker,60
53,retired,37
53,service provider,38
53,unemployed,16
54,child,150
54,civil servant,29
54,craftsman,55
54,farmer,58
54,fisher,58
54,homemaker,60
54,retired,37
54,service provider,38
54,unemployed,17
55,child,149
55,civil servant,27
55,craftsman,58
55,farmer,58
55,fisher,61
55,homemaker,61
55,retired,40
55,service provider,37
55,unemployed,14
56,child,147
56,civil servant,27
56,craftsman,61
56,farmer,58
56,fisher,61
56,homemaker,63
56,retired,40
56,service provider,35
56,unemployed,13
57,child,145
57,civil servant,24
57,craftsman,50
57,farmer,48
57,fisher,59
57,homemaker,57
57,retired,75
57,service provider,33
57,unemployed,14
58,child,143
58,civil servant,24
58,craftsman,48
58,farmer,51
58,fisher,60
58,homemaker,57
58,retired,75
58,service provider,33
58,unemployed,14
59,child,140
59,civil servant,23
59,craftsman,47
59,farmer,52
59,fisher,61
59,homemaker,57
59,retired,73
59,service provider,35
59,unemployed,15
60,child,137
60,civil servant,23
60,craftsman,48
60,farmer,55
60,fisher,58
60,homemaker,59
60,retired,73
60,service provider,36
60,unemployed,16
61,child,135
61,civil servant,23
61,craftsman,48
61,farmer,54
61,fisher,60
61,homemaker,60
61,retired,76
61,service provider,35
61,unemployed,17
62,child,134
62,civil servant,23
62,craftsman,50
62,farmer,54
62,fisher,60
62,homemaker,61
62,retired,72
62,service provider,35
62,unemployed,17
63,child,132
63,civil servant,24
63,craftsman,49
63,farmer,54
63,fisher,62
63,homemaker,64
63,retired,73
63,service provider,34
63,unemployed,17
64,child,129
64,civil servant,25
64,craftsman,50
64,farmer,57
64,fisher,62
64,homemaker,64
64,retired,69
64,service provider,35
64,unemployed,17
65,child,127
65,civil servant,24
65,craftsman,50
65,farmer,58
65,fisher,65
65,homemaker,65
65,retired,63
65,service provider,35
65,unemployed,18
66,child,125
66,civil servant,24
66,craftsman,52
66,farmer,58
66,fisher,66
66,homemaker,65
66,retired,60
66,service provider,37
66,unemployed,18
67,child,124
67,civil servant,25
67,craftsman,53
67,farmer,61
67,fisher,70
67,homemaker,60
67,retired,60
67,service provider,37
67,unemployed,18
68,child,122
68,civil servant,24
68,craftsman,51
68,farmer,63
68,fisher,73
68,homemaker,61
68,retired,55
68,service provider,38
68,unemployed,19
69,child,120
69,civil servant,27
69,craftsman,51
69,farmer,64
69,fisher,72
69,homemaker,61
69,retired,52
69,service provider,37
69,unemployed,21
70,child,118
70,civil servant,28
70,craftsman,51
70,farmer,62
70,fisher,72
70,homemaker,62
70,retired,48
70,service provider,39
70,unemployed,24
71,child,116
71,civil servant,28
71,craftsman,52
71,farmer,65
71,fisher,73
71,homemaker,64
71,retired,42
71,service provider,40
71,unemployed,25
72,child,114
72,civil servant,29
72,craftsman,52
72,farmer,69
72,fisher,76
72,homemaker,64
72,retired,39
72,service provider,40
72,unemployed,25
73,child,113
73,civil servant,32
73,craftsman,52
73,farmer,70
73,fisher,79
73,homemaker,65
73,retired,33
73,service provider,41
73,unemployed,23
74,child,111
74,civil servant,32
74,craftsman,52
74,farmer,73
74,fisher,81
74,homemaker,67
74,retired,29
74,service provider,42
74,unemployed,22
75,child,108
75,civil servant,33
75,craftsman,55
75,farmer,75
75,fisher,83
75,homemaker,68
75,retired,26
75,service provider,44
75,unemployed,18
76,child,105
76,civil servant,33
76,craftsman,57
76,farmer,77
76,fisher,84
76,homemaker,69
76,retired,28
76,service provider,44
76,unemployed,15
77,child,101
77,civil servant,33
77,craftsman,56
77,farmer,77
77,fisher,85
77,homemaker,70
77,retired,32
77,service provider,45
77,unemployed,16
78,child,97
78,civil servant,33
78,craftsman,57
78,farmer,78
78,fisher,83
